,model,cv rmse,std rmse,cv mae,std mae
0,Naive,7710.094632417272,7293.425439097338,854.9907296038689,165.07252022304834
1,raw features,0.0,0.0,0.0,0.0
2,raw features+kmeans,0.0,0.0,0.0,0.0
3,DeepWalk Embedding,7175.877388308055,7550.400751605251,854.5866252517324,137.72803727898045
4,Node2Vec Embedding,7165.588281638973,7558.45372900638,821.6119450773067,145.0487798073318
5,Matrix Factorization,7148.2530324785885,7572.172479673584,783.9021669749201,179.54429205414993
6,PCA,7201.27820612862,7543.928901161109,948.8560608045993,123.6140794176706
7,AutoEncoder,7161.650868492665,7564.548811078195,837.1733835853904,166.62918954547055
8,AutoEncoder + DeepWalk,7185.249745575963,7546.915268266803,885.3661261258194,124.89947732360167
9,Tile2Vec,7159.030723677961,7566.75941192447,824.2096408900461,172.671075963486
10,HDGE,7167.751423592637,7559.129704166579,864.5255311862963,141.54437786470285
11,MSNE,7148.891810371989,7569.288561957228,785.9256684046443,172.59192937815496
12,MSNE + Tile2Vec,7152.90422705033,7568.566512344229,793.1641345333413,169.43687846516255
13,RegionEncoder,7150.16260463706,7565.574505673594,804.2590347851188,151.05097830474543
